district,party,chamber,name,2018_score,lifetime_score
LA-02,D,1,"Richmond, Cedric",46,74
LA-03,R,1,"Higgins, Clay",0,0
LA-04,R,1,"Johnson, Mike",6,3
LA-05,R,1,"Abraham, Ralph",0,1
LA-06,R,1,"Graves, Garret",0,3
PA-01,D,1,"Brady, Robert",86,86
PA-02,D,1,"Evans, Dwight",94,94
PA-03,R,1,"Kelly, Mike",6,4
PA-04,R,1,"Perry, Scott",3,2
PA-05,R,1,"Thompson, Glenn",3,5
PA-06,R,1,"Costello, Ryan",43,34
PA-07,R,1,"Meehan, Patrick",0,16
PA-08,R,1,"Fitzpatrick, Brian",83,77
PA-09,R,1,"Shuster, Bill",3,5
PA-10,R,1,"Marino, Tom",6,5
PA-11,R,1,"Barletta, Lou",6,5
PA-12,R,1,"Rothfus, Keith",6,3
PA-13,D,1,"Boyle, Brendan",91,97
PA-14,D,1,"Doyle, Mike",91,78
PA-15,R,1,"Dent, Charlie",0,17
PA-16,R,1,"Smucker, Lloyd",3,3
PA-17,D,1,"Cartwright, Matt",91,96
PA-18,D,1,"Lamb, Conor",82,82
MI-01,R,1,"Bergman, Jack",9,7
MI-02,R,1,"Huizenga, Bill",0,4
MI-03,R,1,"Amash, Justin",37,18
MI-04,R,1,"Moolenaar, John",6,4
MI-05,D,1,"Kildee, Daniel",94,96
MI-06,R,1,"Upton, Fred",40,26
MI-07,R,1,"Walberg, Tim",0,3
MI-08,R,1,"Bishop, Mike",3,4
MI-09,D,1,"Levin, Sander",94,92
MI-10,R,1,"Mitchell, Paul",3,3
MI-11,R,1,"Trott, Dave",9,5
MI-12,D,1,"Dingell, Debbie",94,97
MI-13,D,1,"Jones, Brenda",100,100
MI-14,D,1,"Lawrence, Brenda",94,97
NV-01,D,1,"Titus, Dina",89,95
NV-02,R,1,"Amodei, Mark",14,5
NV-03,D,1,"Rosen, Jacky",94,96
NV-04,D,1,"Kihuen, Ruben",97,97
NJ-01,D,1,"Norcross, Donald",86,92
NJ-02,R,1,"LoBiondo, Frank",51,56
NJ-03,R,1,"MacArthur, Tom",23,16
NJ-04,R,1,"Smith, Christopher",60,61
NJ-05,D,1,"Gottheimer, Josh",80,81
NJ-06,D,1,"Pallone, Frank",91,96
NJ-07,R,1,"Lance, Leonard",60,27
NJ-08,D,1,"Sires, Albio",89,91
NJ-09,D,1,"Pascrell, Bill",91,93
NJ-10,D,1,"Payne, Donald",91,91
NJ-11,R,1,"Frelinghuysen, Rodney",17,30
NJ-12,D,1,"Watson Coleman, Bonnie",94,96
OH-01,R,1,"Chabot, Steve",3,12
OH-02,R,1,"Wenstrup, Brad",0,1
OH-03,D,1,"Beatty, Joyce",83,95
OH-04,R,1,"Jordan, Jim",3,4
OH-05,R,1,"Latta, Bob",0,2
OH-06,R,1,"Johnson, Bill",0,3
OH-07,R,1,"Gibbs, Bob",0,3
OH-08,R,1,"Davidson, Warren",3,1
OH-09,D,1,"Kaptur, Marcy",94,83
OH-10,R,1,"Turner, Michael",14,9
OH-11,D,1,"Fudge, Marcia",89,93
OH-12,R,1,"Balderson, Troy",0,0
OH-13,D,1,"Ryan, Tim",94,92
OH-14,R,1,"Joyce, David",14,8
OH-15,R,1,"Stivers, Steve",11,6
OH-16,R,1,"Renacci, Jim",3,3
NH-01,D,1,"Shea-Porter, Carol",89,95
NH-02,D,1,"Kuster, Ann",89,94
MN-01,D,1,"Walz, Tim",14,75
MN-02,R,1,"Lewis, Jason",0,0
MN-03,R,1,"Paulsen, Erik",34,18
MN-04,D,1,"McCollum, Betty",97,94
MN-05,D,1,"Ellison, Keith",74,92
MN-06,R,1,"Emmer, Tom",0,1
MN-07,D,1,"Peterson, Collin",20,31
MN-08,D,1,"Nolan, Rick",77,83
WI-01,R,1,"Ryan, Paul",n/a,11
WI-02,D,1,"Pocan, Mark",100,97
WI-03,D,1,"Kind, Ron",89,89
WI-04,D,1,"Moore, Gwen",94,94
WI-05,R,1,"Sensenbrenner, James",6,25
WI-06,R,1,"Grothman, Glenn",3,1
WI-07,R,1,"Duffy, Sean",0,2
WI-08,R,1,"Gallagher, Mike",0,1
AZ-01,D,1,"O'Halleran, Tom",83,87
AZ-02,R,1,"McSally, Martha",9,6
AZ-03,D,1,"Grijalva, Raul",94,96
AZ-04,R,1,"Gosar, Paul",6,5
AZ-05,R,1,"Biggs, Andy",11,9
AZ-06,R,1,"Schweikert, David",3,4
AZ-07,D,1,"Gallego, Ruben",100,97
AZ-08,R,1,"Lesko, Debbie",0,0
AZ-09,D,1,"Sinema, Kyrsten",74,77
WY-AL,R,1,"Cheney, Liz",0,0
GA-01,R,1,"Carter, Buddy",0,0
GA-02,D,1,"Bishop, Sanford",63,51
GA-03,R,1,"Ferguson, A.",6,3
GA-04,D,1,"Johnson, Hank",100,96
GA-05,D,1,"Lewis, John",97,93
GA-06,R,1,"Handel, Karen",0,0
GA-07,R,1,"Woodall, Rob",3,4
GA-08,R,1,"Scott, Austin",3,3
GA-09,R,1,"Collins, Doug",3,2
GA-10,R,1,"Hice, Jody",0,0
GA-11,R,1,"Loudermilk, Barry",0,0
GA-12,R,1,"Allen, Rick",0,0
GA-13,D,1,"Scott, David",86,82
GA-14,R,1,"Graves, Tom",0,2
MD-01,R,1,"Harris, Andy",3,3
MD-02,D,1,"Ruppersberger, C.A. Dutch",94,88
MD-03,D,1,"Sarbanes, John",94,96
MD-04,D,1,"Brown, Anthony",83,91
MD-05,D,1,"Hoyer, Steny",63,81
MD-06,D,1,"Delaney, John",91,94
MD-07,D,1,"Cummings, Elijah",89,92
MD-08,D,1,"Raskin, Jamie",97,99
TX-01,R,1,"Gohmert, Louie",3,4
TX-02,R,1,"Poe, Ted",0,3
TX-03,R,1,"Johnson, Sam",0,3
TX-04,R,1,"Ratcliffe, John",0,0
TX-05,R,1,"Hensarling, Jeb",0,4
TX-06,R,1,"Barton, Joe",6,6
TX-07,R,1,"Culberson, John",6,4
TX-08,R,1,"Brady, Kevin",3,3
TX-09,D,1,"Green, Al",97,85
TX-10,R,1,"McCaul, Michael",3,5
TX-11,R,1,"Conaway, K. Michael",3,2
TX-12,R,1,"Granger, Kay",6,5
TX-13,R,1,"Thornberry, Mac",3,2
TX-14,R,1,"Weber, Randy",6,2
TX-15,D,1,"Gonzalez, Vicente",74,73
TX-16,D,1,"O'Rourke, Beto",94,95
TX-17,R,1,"Flores, Bill",3,3
TX-18,D,1,"Jackson Lee, Sheila",97,81
TX-19,R,1,"Arrington, Jodey",0,0
TX-20,D,1,"Castro, Joaquin",97,96
TX-21,R,1,"Smith, Lamar",3,6
TX-22,R,1,"Olson, Pete",0,1
TX-23,R,1,"Hurd, Will",20,6
TX-24,R,1,"Marchant, Kenny",3,3
TX-25,R,1,"Williams, Roger",0,1
TX-26,R,1,"Burgess, Michael",0,3
TX-27,R,1,"Cloud, Michael",0,0
TX-28,D,1,"Cuellar, Henry",49,42
TX-29,D,1,"Green, Gene",83,67
TX-30,D,1,"Johnson, Eddie Bernice",94,86
TX-31,R,1,"Carter, John",6,4
TX-32,R,1,"Sessions, Pete",3,2
TX-33,D,1,"Veasey, Marc",89,88
TX-34,D,1,"Vela, Filemon",80,74
TX-35,D,1,"Doggett, Lloyd",100,97
TX-36,R,1,"Babin, Brian",3,1
MT-AL,R,1,"Gianforte, Greg",3,5
AK-AL,R,1,"Young, Don",6,8
CO-01,D,1,"DeGette, Diana",91,96
CO-02,D,1,"Polis, Jared",66,89
CO-03,R,1,"Tipton, Scott",9,7
CO-04,R,1,"Buck, Ken",6,3
CO-05,R,1,"Lamborn, Doug",0,3
CO-06,R,1,"Coffman, Mike",20,6
CO-07,D,1,"Perlmutter, Ed",89,86
ND-AL,R,1,"Cramer, Kevin",3,1
IL-01,D,1,"Rush, Bobby",91,79
IL-02,D,1,"Kelly, Robin",97,94
IL-03,D,1,"Lipinski, Dan",91,90
IL-04,D,1,"Gutierrez, Luis",91,91
